NS	X7	X10	X12	X24	X26	X34	X35	X36	X40	X43	X63	X66	X69	X71	X79	X83	X91	X102	X106	X112	X115	X119	X121	X122	X176	X182	X183	X185	X188	X190	X192	X194	X195	X204	X209	X213	X219	X221	X224	X227	X231	X232	X233	X237	X239	X241	X246	X247	X249	X250	X252	X256	X257	X258	X261	X264	X269	X271	X272	X273	X275	X278	X282	X283	X285	X293	X132	X138	X141	X151	X155	X160	X169	X174
hsa-miR-101-3p	2.148383539	1.335152749	2.065064059	1.986231857	2.042066439	2.292866212	1.936864499	1.992055124	2.14886851	2.051676732	1.365771532	1.921126479	1.638376341	1.741764166	2.062834335	1.977314241	1.933356748	1.108270876	1.69453713	1.146811518	1.363194659	1.89754082	0.936906136	1.677405012	2.055140465	2.505519348	1.992900753	2.39369541	2.153517352	2.298945233	2.506217967	1.885684599	2.125480963	2.00194693	2.399939183	1.830998113	2.076790123	1.849259176	2.637242399	2.218006862	1.677688121	2.469986751	1.469139743	2.077818079	1.58147725	1.957853867	2.16834194	2.080327804	1.710362036	1.919720533	1.862352249	1.695919024	1.460448799	1.882533947	2.539431573	1.970030268	2.33487545	2.255415114	2.024037048	1.54048585	2.148657081	2.357813413	1.365682104	1.681941873	1.623206712	1.829479853	1.514488873	1.151249626	1.744169708	1.774099843	1.654687993	1.133885913	1.602947759	1.942916522
hsa-miR-103a-3p	0.616878071	0.103651086	0.478639428	0.8642288	0.88275936	0.837338839	0.500581617	0.549966761	0.063013158	0.437711597	0.644690009	0.390610266	0.58697673	-0.369586971	0.802400873	0.935591245	0.038187852	0.562409198	0.386740968	0.473279004	0.56708117	1.253794364	0.525895967	0.58572119	0.390724578	0.550183799	0.790923831	0.781276014	0.87174224	0.820949506	0.498314353	0.537619062	0.644488797	0.722465498	0.047708541	0.243032152	0.266396371	1.148329	0.806739255	0.739152953	1.131850878	0.729357381	0.258460036	0.271223892	0.549993608	0.306421271	0.555391177	0.423194683	0.379516488	1.02580938	0.541210292	0.757782272	0.342958056	0.629202784	1.311235788	0.362045633	0.408516357	0.65356672	0.362752449	-0.001924091	0.711826583	0.489407227	0.463589277	0.505774422	0.357164911	0.544261603	0.630086038	0.230204444	0.57266818	-0.0278693	0.702981163	0.023354786	0.620245277	0.395516528
hsa-miR-105-5p	1.617839925	0.904853998	1.491695284	1.911514899	1.783435014	1.221250205	1.983621875	2.038856982	1.721935514	1.80507962	2.042325917	0.334751339	1.614423945	1.192474318	1.940912974	2.107201771	1.943238265	2.062431375	1.8882563	1.763678459	2.009061375	1.293693718	2.101574065	1.704478591	2.319135055	1.010500374	1.096634067	1.348758381	2.019787785	1.57111553	1.888719229	1.357115622	1.845782483	0.84163702	1.483050707	1.678901705	1.101560598	0.566446696	2.265511555	1.71186343	1.888053915	1.325083724	1.448488609	1.34645302	1.17585946	1.682287463	1.742383368	1.664782531	2.086297071	1.525814327	1.590841144	1.86531923	1.133608143	1.381556739	1.184405639	1.626145575	1.412549139	1.619639911	1.161316907	1.00709564	1.347296368	1.568534396	1.379140714	0.971857633	1.401799639	1.584098151	1.389600116	2.300231058	1.778701597	1.776355627	1.921284896	1.537289996	1.260179498	1.370294112
hsa-miR-106a-5p+hsa-miR-17-5p	-1.636547084	-0.685911829	-1.152669951	-1.201053057	-1.605354944	-2.294878826	-1.304425752	-2.125479883	-1.957290721	-1.382413721	-2.264300945	-2.14572309	-0.901220211	-1.069329022	-1.463257103	-1.862471212	-4.442601221	-1.567842826	-1.020504554	-1.669987135	-1.563833737	-1.022652627	-1.368018501	-2.070491975	-0.966183106	0.344175049	-0.930270797	-0.290447989	1.426832056	0.084979621	-0.164458435	-0.595704643	-0.63042785	-0.633848961	0.182498593	-1.22223578	-0.154758977	-0.917094488	2.122066183	0.462542479	-0.349412858	-0.124631566	-0.737879804	-0.688978239	0.1644129	-0.421306439	-1.020724182	-0.404138098	-0.328724799	-1.469967121	-1.210661757	-0.978686464	-0.646028176	-1.623951362	-0.828508255	-1.512119038	-1.731303508	-1.514870374	-1.555449425	-0.800202314	-0.45609106	-1.681373748	-0.459270508	-1.394004543	-1.039393985	-0.335976874	-1.728180754	-1.535748583	-1.995047032	-1.828633463	-1.951589262	-1.13398359	-2.230896235	-1.638692469
hsa-miR-106b-5p	1.775660555	0.799117369	1.758280909	1.497982147	0.75442113	0.928725434	0.916049833	0.2781058	1.030175224	1.439049133	1.161244255	1.464377886	1.325947732	1.14177204	1.684300561	0.761701899	-0.298652521	1.305763051	1.861721505	1.872846893	1.248416945	1.780637969	1.112948752	0.846521852	0.50343661	2.156901882	0.920166264	2.377535499	3.171638266	1.579420609	2.011327113	1.603513225	2.291536526	1.391563317	3.066702021	1.486916309	1.765183053	1.557933235	3.887624716	3.583958301	2.173752969	1.514287844	1.015894591	1.628144175	1.87481007	1.754124254	0.802870948	2.80138585	1.811120597	1.420498313	0.629929937	1.433715544	1.704511472	1.747318319	1.804548347	1.70466429	0.557353728	1.506781836	1.455379269	1.793408114	1.955464204	1.760538387	0.980895642	1.634420326	1.582065333	1.546351826	1.184586871	1.805914122	1.569804367	1.737565071	1.511812364	1.717660265	2.06343674	1.437154477
hsa-miR-107	-1.618019324	-1.099602424	-2.04181547	-1.247982278	-0.693696553	-1.37068405	-1.022613946	-1.463783179	-0.902469824	-1.422132963	-0.960778083	-1.031012927	-0.944858012	-1.938876586	-2.211698688	-1.339746344	-1.047614755	-0.848806091	-1.201339596	-0.318397987	-0.650833711	-0.631427318	-1.477507655	-0.932358699	-1.665056748	-1.3459564	-1.396217909	-0.93360724	-1.632971429	-0.879250725	-0.295648573	-0.578326401	-0.799726968	-1.362400335	-1.317274472	-0.641570609	-0.763170737	-1.445814711	-0.975265809	-0.793575786	-0.595708062	-1.307395686	-1.056798232	-0.716265409	-1.309325538	-1.235404072	-0.364766736	-0.507080219	-1.632130297	-1.16160325	-0.638506047	-0.360798443	-0.601487998	-0.658972788	-0.391183786	-0.779031336	-0.085898612	-0.59144738	-0.469950775	-1.015201321	-1.452410179	-0.281848302	-1.89177175	-0.400644884	-0.733225946	-0.592722828	-1.198801977	-1.384479628	-1.354716057	-1.222913646	-0.737670457	-1.116569994	-1.521481783	-1.064178008
hsa-miR-10a-5p	0.281822521	0.521887046	0.359332026	0.504586875	0.569944276	0.293991665	0.181764504	0.149673834	0.486334629	0.885074495	0.374103985	0.384197823	1.006827815	0.477111428	0.270033404	-0.013686642	0.775083125	0.78387118	1.071759045	0.40790907	0.671432441	0.250690209	1.398738915	0.59013413	0.246374779	0.054660469	0.0458986	-0.488219751	-1.043375834	-0.318180196	0.007592653	0.406119511	0.363004381	0.188299969	-0.700437694	0.057724118	0.219452924	-0.586554193	-0.400244947	-0.371492249	0.442963495	-0.042443659	0.439510178	-0.174908574	0.477759323	0.570966513	0.688414214	-0.090238204	-0.14311941	-0.034003473	-0.216570228	0.606262926	0.030873489	0.808153194	0.300454545	0.674725377	0.071532835	0.295503919	0.043575307	0.076594327	-0.402353492	0.35588262	-0.256857326	0.113015644	-0.440184851	0.580662485	1.104740372	1.31483417	0.498489713	0.827935998	0.796713657	0.827616491	0.636771756	1.236611604
hsa-miR-10b-5p	1.338054675	1.169191761	1.699319188	1.383253687	1.470910273	0.9102858	1.648030909	1.231874196	0.612352116	0.908195518	1.066151834	2.119691488	1.530434479	1.439440843	1.140550289	1.504213757	1.240656103	1.34746777	1.192060208	1.662309473	0.710359001	1.112643255	0.99623545	1.590458893	1.413981196	0.726514643	1.664595053	0.78482102	0.358777886	1.062560646	1.51121793	1.87303987	1.611376247	1.514940895	1.085439672	0.788470609	1.38717638	1.369482878	0.241969779	1.335499769	1.154495802	1.449811227	0.845958199	1.124712671	0.803526535	1.201720762	1.334292905	1.117801412	1.686554817	1.474390618	1.356814207	1.073565739	1.036623136	1.266070263	1.523987151	1.259601614	1.147893954	1.500644829	1.36405661	1.456320899	1.465250869	1.850535048	0.387979665	1.056133741	0.701340967	0.954928097	1.096625248	1.885916018	1.640436199	1.475780444	1.784735041	1.465234912	1.801060233	1.663488156
hsa-miR-1178-3p	0.652006478	0.180652937	0.259788916	0.372056829	0.566967787	0.581951029	0.133105362	0.563194569	0.592879747	0.612681865	0.346676607	0.221433669	0.495976848	0.930992842	0.70613103	0.538007342	1.013337493	0.045094533	0.649670012	0.424090136	0.510468062	0.544355603	0.538526757	0.916832021	-0.141967984	1.155348106	0.658215115	0.781725684	0.798466342	0.508090953	0.355031487	1.033344019	0.813121234	0.506152011	0.937418021	0.212234171	1.011706483	0.57527008	0.15377698	1.06471412	-0.073381207	0.045289282	0.149924874	0.560590254	0.482372984	0.384086752	0.47227867	0.34304535	0.074877083	0.669485499	0.851502113	0.478040552	0.606944317	1.094505214	0.212734803	0.696683083	0.695299961	0.317271454	0.711802557	0.670221967	0.511741867	0.393871747	0.647175	-0.019359336	0.702445469	0.232221565	0.68328578	-0.564259303	-0.204828677	-0.12065076	0.326289335	0.181709763	-1.103628307	-0.051149865
hsa-miR-1180-3p	1.604946433	1.22103428	1.194904661	0.790748853	1.009601563	1.25603019	0.890236467	0.348119095	1.424614043	1.322248962	1.383692533	0.906622576	1.016545132	0.50248938	0.855683906	0.685461814	1.015029605	1.041841839	0.397433255	0.185736685	0.977749653	1.001957061	1.078731247	1.123480304	0.573246051	0.883368578	1.32792843	1.163637803	1.20969027	0.866622028	0.841259127	1.031569071	1.497467508	0.722397268	0.396943535	1.014991903	0.441264179	0.611521659	1.293369113	-0.156514191	0.570201789	0.670214592	1.077236505	0.700009135	0.877687858	0.076512073	1.161183671	0.743825085	0.507363146	1.280208861	0.834277936	0.918185674	0.416426064	0.740036721	0.76027544	1.186543285	1.01012638	0.408210786	0.539407331	0.728404661	0.860975545	0.713936965	1.049041616	0.791371404	0.236147395	1.366528458	1.806650352	0.986707639	-0.066565638	1.304554108	1.037815658	0.831297489	0.99889386	1.23765172
hsa-miR-1183	0.010438735	-0.156142574	-0.67432343	0.288680846	0.618535567	0.500619861	0.507386987	0.331251592	0.44150046	0.803588577	0.326585963	-0.082726615	-0.252923117	-0.592422027	-0.157910432	-0.04282558	-0.215138717	0.401757966	-0.081935528	0.741849902	0.113458579	-0.923998341	-0.026769132	0.164714488	0.126622459	-0.052376756	-0.398560702	0.149953973	0.428021123	0.524808253	0.556289989	0.395476437	-0.222099065	-0.230539515	-0.224069083	0.313546713	-0.619742384	0.116486576	1.425434316	0.540100389	0.201006303	0.306859203	0.331788594	0.19473065	0.372514232	0.625100435	0.633715036	0.584142454	0.28176653	0.43394292	0.454329441	0.019333028	-0.076774533	-0.039732126	0.417551538	0.637327239	0.477925067	0.576884721	0.327884811	0.694238606	0.606584055	0.591415101	-0.327203974	1.179592044	0.544727816	0.668214336	-0.413620316	-0.40061617	-0.18640801	-0.032985293	-0.639070482	0.098387233	-0.029503947	-0.026625737
hsa-miR-1185-1-3p	0.406843374	-0.208522658	-0.110562588	0.108247631	0.367701484	-0.287727674	0.19915605	0.581794634	0.123429034	0.347324734	0.034389869	-0.508212883	-0.458657152	0.151486603	0.727299348	0.302721902	0.3203351	-0.162364655	0.289321237	0.23103572	0.079913028	-0.139550333	0.512503141	0.184868591	-1.751175976	-0.08091878	0.092478219	-0.175694783	-0.358811754	0.096938752	-0.772424741	-1.295251261	1.032352568	0.111891348	0.591751155	-0.022877735	-0.308032893	-0.696131188	0.233926163	0.153348372	-0.567550431	0.378282899	0.047621764	0.448772279	-0.330501567	-0.453715712	0.091471007	-1.021462621	0.048709512	0.118669637	-0.073141625	-0.16748818	-0.822792094	0.187903091	0.479115717	0.709580739	0.592102571	0.168913258	-0.098194183	0.358044587	0.556008464	0.010167507	0.334202141	0.137744582	-0.304467053	-0.336015623	0.269980969	0.389208253	-0.441496556	-0.183922984	0.605274583	-0.32034754	0.201180684	-0.463945523
hsa-miR-1185-2-3p	1.208419064	1.141133567	1.430379298	1.281387605	1.087918193	1.291787117	1.679706018	1.534901255	1.833452551	1.960669581	1.753034441	1.464950006	1.232959632	0.317974337	1.572405594	1.263276003	1.363139296	2.333962607	1.403759807	1.057970184	1.650727779	1.793982101	1.58319373	0.851159277	2.363000296	1.896234906	1.625702751	2.5782776	2.50181192	2.483913894	2.090319313	1.932122793	2.545542075	2.31718506	2.77488342	1.223341735	1.405283899	2.139231683	2.220055373	2.317619178	2.235520213	1.24964352	0.889630442	1.786989866	1.715408109	1.498985757	2.087735856	2.198788181	3.034181528	1.599297226	1.435388247	2.12758589	1.726479701	1.242831868	2.10876788	1.46012419	1.665281942	2.445819489	1.995692436	0.977174077	1.465881496	1.842552814	1.498563829	1.845952764	1.64560235	2.14465906	0.861853722	2.251647448	2.032168361	1.510657118	1.493338948	1.495638126	2.458793655	2.25742668
hsa-miR-1185-5p	1.582594501	2.204609995	1.770356202	2.078208714	2.130516241	1.964393959	1.790427437	2.451758793	1.941796447	1.473874627	1.998389551	1.483720194	2.010710838	1.412521682	2.172890718	1.360307611	1.288578844	1.431185389	1.825540428	1.870089512	2.112219628	1.980332505	1.752138628	2.065603386	1.781238381	2.523503667	0.854971295	1.102207383	1.338124983	1.764583328	1.407760554	2.210838781	0.463126723	1.874510549	1.48708797	1.875023916	1.142321048	2.113792635	2.0507908	2.138650794	1.16985126	1.667255741	1.764935267	1.672303374	1.88654416	2.052651562	1.741906984	1.550978032	1.566892515	1.969362045	0.922315281	2.301894271	1.424117431	2.569266023	1.978938226	2.224126366	2.033671135	2.155252811	2.660844181	1.970308767	0.807689608	1.802045426	0.474465303	2.016104036	1.859823332	1.432124531	1.741906785	1.780204657	1.974411144	1.550480969	1.337658497	1.615179368	1.639688143	2.108826072
hsa-miR-1193	1.056625555	0.937192205	1.476328431	1.126796473	0.936017604	1.441266171	1.106471806	1.742285727	1.473322339	1.347540313	1.15003837	1.430691207	1.14271579	0.722707687	0.672239409	1.323931086	0.623427302	0.704334012	1.137700612	-0.00069273	0.895260751	0.626304059	0.922184171	0.999938482	1.271028082	1.348855528	0.527223234	0.860851083	0.613606529	1.01730449	1.237855913	1.369091923	0.608391762	1.162902957	1.332208249	0.670260429	1.149812851	0.988616268	1.188635619	0.589594785	0.786060184	1.389734163	1.05406687	1.366048339	0.855299612	1.314512413	0.63632471	1.284929671	0.807119453	1.024231551	1.051359499	1.358013244	0.906126124	0.655698202	1.14193953	1.146654999	1.703682307	0.763214026	1.038807286	0.621765792	1.273703455	1.473490207	1.423246239	1.189178465	0.95595038	1.485230748	0.694634074	1.122841429	1.003941784	1.10909794	1.412229911	1.195277338	0.912705185	1.236355788
hsa-miR-1197	1.364967231	1.161070373	1.255560732	1.709488871	1.12090825	1.145998963	1.350383115	1.419750395	1.37702033	1.047738177	1.481101372	1.711762769	1.0039478	1.247659823	1.245927654	0.997943334	1.314464042	1.217051402	1.491688071	1.326148288	1.620426099	1.542493124	1.430650117	1.110832321	1.378327967	1.492532437	1.56041473	1.624198113	1.488407649	1.838587562	1.810828258	1.539835451	2.209508421	1.887606917	1.876648157	1.752649905	1.650971866	1.539252959	1.464980593	1.375652518	1.507680976	1.630261312	1.404084763	2.031468971	1.201146299	1.283618364	1.503688335	1.727983238	1.222811032	1.677275699	1.705584362	1.423925868	1.295473551	1.725863491	1.365423864	1.401657418	1.867483433	1.292699007	1.373159861	1.012366492	1.570021573	1.514853339	1.689146386	1.598847019	1.6650358	1.535480088	1.533954268	1.535425522	1.335224415	1.131293664	1.394092935	0.797974472	0.764618071	1.598082507
hsa-miR-1200	1.748895476	1.752041752	1.718313105	2.223384594	1.382187406	2.009781799	1.837029422	1.648317649	1.928843065	1.439751332	1.133525357	1.605895383	2.039080307	1.62844638	1.484054593	1.435794897	1.544592743	1.57866224	1.948964091	1.354864321	1.955862419	1.970719384	1.483480083	0.586640566	1.049004646	1.324153261	2.228597104	1.20198846	0.945370622	1.906445759	1.724160596	2.240131259	2.116684389	1.799969206	1.082440747	1.301332821	1.770356733	2.199749992	1.420558933	2.235799431	1.170179772	1.414496201	2.114367722	1.908672411	1.957786583	1.786096923	1.810528538	2.443404132	1.654957696	1.438475249	1.739397996	1.813287515	1.192963168	0.961596885	2.196168119	1.825351967	2.048376735	2.294527313	1.562126843	1.326229801	0.569310843	1.868343583	1.747561217	2.002082303	1.909135322	1.647619104	2.260045602	2.365765784	1.990618687	2.299417609	2.571809935	1.294262778	1.947099272	2.069814702
hsa-miR-1202	0.716373024	1.281642018	0.814072479	0.542613827	0.413527272	0.853600686	0.703998142	0.690858165	0.744760468	0.136836492	0.615941366	0.924134868	0.397004379	0.123369143	0.676869848	0.991728841	0.280640375	0.594309965	0.873690543	0.476535981	0.80900133	0.689647117	0.492056956	0.762276206	0.381922412	0.90146624	0.724396808	0.567992998	1.012484021	0.564540176	1.000896694	0.54258757	0.403458378	0.577084321	0.509000213	0.639362025	0.869559591	0.643591387	0.817956135	0.382632163	0.63080087	0.09810466	1.030329046	0.867032696	0.841732996	0.582721885	0.66233435	0.181227295	0.893897427	0.877126879	0.885020858	0.380798927	0.379413322	0.506092666	0.777310275	0.881561188	0.485423425	0.622851728	0.730572274	0.920806656	0.614660879	0.225461289	-0.170194442	0.034721226	0.684127489	0.2056249	0.895211008	0.647261583	0.543974619	0.378019266	0.311084691	0.605895337	0.695535918	0.63021327
